configuration_order,configuration,perturbed_component,perturbation_percent,weight_td,weight_safety,weight_uncertainty,weight_novelty,evaluation,stress_multiplier,n_seeds,contact_samples_total,colliding_seeds,known_static_contact_samples_total,successful_seeds,success_rate_pct,configuration_runtime_s,posthoc_descriptive_only,cost_mean,cost_std,violation_rate_pct_mean,violation_rate_pct_std,min_clearance_cm_mean,min_clearance_cm_std,min_uncertain_true_clearance_cm_mean,min_uncertain_true_clearance_cm_std,belief_center_rmse_cm_mean,belief_center_rmse_cm_std,goal_error_cm_mean,goal_error_cm_std,cbf_intervention_pct_mean,cbf_intervention_pct_std,runtime_ms_per_episode_mean,runtime_ms_per_episode_std,delta_vs_nominal_cost_mean,delta_vs_nominal_violation_rate_pct_mean,delta_vs_nominal_min_clearance_cm_mean,delta_vs_nominal_min_uncertain_true_clearance_cm_mean,delta_vs_nominal_belief_center_rmse_cm_mean,delta_vs_nominal_goal_error_cm_mean,delta_vs_nominal_success_rate_pct,delta_vs_nominal_cbf_intervention_pct_mean
0,nominal,none,0,0.17999999999999999,0.39000000000000001,0.29999999999999999,0.13,exploratory_extreme,6,5,0,0,0,5,100,7.8497889999998733,True,7.6320463429693408,0.44080924000242838,0,0,2.7071496392511682,0.23010462633254616,6.9519994597753101,0.26141993001079811,3.5166766797564728,0.55403705124442559,4.6957776299333576,0.5101027968598687,29.142857142857146,4.6879676637458285,192.82233999692835,7.6214166248866491,0,0,0,0,0,0,0,0
1,td_minus20,td,-20,0.14937759336099582,0.4045643153526971,0.31120331950207464,0.13485477178423236,exploratory_extreme,6,5,0,0,0,5,100,8.1355325999902561,True,7.6494881560971466,0.44108511217323704,0,0,2.7028762352438647,0.20607297354176241,6.9533738833147423,0.23297031584514247,3.5368761053365247,0.70224880783527377,4.6122866312226396,0.67103273136665975,28.785714285714288,5.2221076361240684,199.0665000048466,8.4945849398693216,0.017441813127805794,0,-0.0042734040073035828,0.0013744235394321791,0.020199425580051944,-0.083490998710717967,0,-0.35714285714285765
2,td_plus20,td,20,0.20849420849420849,0.37644787644787647,0.28957528957528955,0.12548262548262548,exploratory_extreme,6,5,0,0,0,5,100,8.0973022000107449,True,7.6610656680059552,0.4386781110280224,0,0,2.6820973242012536,0.19230629468757057,6.9863486955275222,0.17447317458066142,3.5000553214799823,0.61968925476089054,4.6744189751783072,0.48510510532322271,28.142857142857146,5.2208862333156114,197.19990000012331,4.0121151862319104,0.029019325036614418,0,-0.025052315049914675,0.034349235752212159,-0.016621358276490472,-0.021358654755050388,0,-1
3,safety_minus20,safety,-20,0.1952277657266811,0.33839479392624733,0.32537960954446854,0.14099783080260303,exploratory_extreme,6,5,0,0,0,5,100,8.1279725999920629,True,7.6514738873676222,0.35418731231365796,0,0,2.6794620430221308,0.21068155538819408,6.9462358181760919,0.33097677392128544,3.5756108109980014,0.66697790784022337,4.6009451904265601,0.64713713994602573,28.428571428571427,5.276778160497372,199.90379998926073,6.8886585119457076,0.019427544398281427,0,-0.027687596229037492,-0.0057636415992181611,0.058934131241528576,-0.094832439506797428,0,-0.71428571428571885
4,safety_plus20,safety,20,0.16697588126159557,0.43413729128014844,0.2782931354359926,0.12059369202226347,exploratory_extreme,6,5,0,0,0,5,100,8.1970272999897134,True,7.6367094907544724,0.42238653822373251,0,0,2.6995244148339079,0.21785874575606429,6.9617720157284682,0.25220346228610624,3.485919462820557,0.64688195638988599,4.6171083452936177,0.65487872990236828,28.142857142857146,4.9448488968061399,206.56686000293121,7.2773330189441081,0.0046631477851315495,0,-0.0076252244172603234,0.0097725559531580686,-0.030757216935915821,-0.078669284639739878,0,-1
5,uncertainty_minus20,uncertainty,-20,0.19148936170212763,0.41489361702127658,0.25531914893617019,0.13829787234042554,exploratory_extreme,6,5,0,0,0,5,100,8.3246015000040643,True,7.6565032668865189,0.43432403170694261,0,0,2.7058495649185743,0.22252504457809749,6.9577658122129735,0.24743172502601121,3.5536884965174034,0.69408016768698355,4.5263837357267178,0.79922677930251007,28.785714285714285,4.8088460154178359,214.64020000421442,13.313250400790027,0.024456923917178131,0,-0.0013000743325939368,0.0057663524376634356,0.037011816760930571,-0.16939389420663975,0,-0.3571428571428612
6,uncertainty_plus20,uncertainty,20,0.16981132075471697,0.36792452830188677,0.33962264150943394,0.12264150943396226,exploratory_extreme,6,5,0,0,0,5,100,8.3423302000155672,True,7.6439237359422183,0.43444187464894407,0,0,2.7204590449687411,0.22363757573827045,6.9655347134483305,0.27496357648221748,3.5782314159855213,0.69696613117979911,4.5204319975227598,0.7976983787387476,28.857142857142854,4.9897854847351351,210.01136000850238,15.839538646894992,0.011877392972877487,0,0.013309405717572886,0.013535253673020442,0.061554736229048501,-0.17534563241059775,0,-0.2857142857142918
7,novelty_minus20,novelty,-20,0.1848049281314168,0.40041067761806981,0.30800821355236135,0.10677618069815195,exploratory_extreme,6,5,0,0,0,5,100,8.3015683999983594,True,7.6741496451606341,0.39437428208222086,0,0,2.685727037130563,0.22091643057795421,6.9673410533177176,0.25120108191078439,3.5277883176852418,0.67804868917868077,4.5932587624706693,0.65930799231158255,28.571428571428566,5.1010203061020336,202.32620000606403,3.5849946581904568,0.042103302191293324,0,-0.021422602120605205,0.015341593542407495,0.011111637928769014,-0.10251886746268823,0,-0.57142857142858006
8,novelty_plus20,novelty,20,0.17543859649122806,0.38011695906432746,0.29239766081871343,0.15204678362573099,exploratory_extreme,6,5,0,0,0,5,100,8.3768172000127379,True,7.6418888131769034,0.38597634428841943,0,0,2.7085811922827356,0.21689897453919085,6.9752398213716145,0.23665135917220528,3.474747490789484,0.57031297594759156,4.6768887233998786,0.49385311774341462,28.642857142857146,4.9060042347128485,204.83015999780037,11.364916184241336,0.0098424702075625703,0,0.0014315530315673897,0.023240361596304382,-0.041929188966988828,-0.018888906533478966,0,-0.5
0,nominal,none,0,0.17999999999999999,0.39000000000000001,0.29999999999999999,0.13,moderate,2.2000000000000002,5,0,0,0,5,100,7.8497889999998733,True,6.9388042240500116,0.30069842190263019,0,0,3.7274324975433926,0.36117267232314798,4.5494688816313058,1.2585131661538582,3.4422693266028532,0.21790044434345171,4.4001318351117007,0.7499677584125134,21.500000000000004,3.2674180032807656,192.6210000005085,9.7048359077504962,0,0,0,0,0,0,0,0
1,td_minus20,td,-20,0.14937759336099582,0.4045643153526971,0.31120331950207464,0.13485477178423236,moderate,2.2000000000000002,5,0,0,0,5,100,8.1355325999902561,True,6.9700724324386609,0.2876172970067839,0,0,3.759188808188545,0.37128644820707862,4.5764129880808877,1.245882020612596,3.4430197355272774,0.21090334739981026,4.4630078477332829,0.64575095553427742,21.785714285714285,3.6596252735569998,200.00117999734357,10.028824810586791,0.031268208388649299,0,0.031756310645152386,0.026944106449581895,0.00075040892442412854,0.062876012621582156,0,0.28571428571428115
2,td_plus20,td,20,0.20849420849420849,0.37644787644787647,0.28957528957528955,0.12548262548262548,moderate,2.2000000000000002,5,0,0,0,5,100,8.0973022000107449,True,6.9878032840618189,0.27148501342989267,0,0,3.7706161756960648,0.34260330865584793,4.5936754628917402,1.2430188421385315,3.440917637385938,0.20068256593877501,4.4717855858677042,0.65282551503249142,21.642857142857146,3.5678553553549062,195.75569999287836,6.4487904532469029,0.048999060011807316,0,0.043183678152672211,0.044206581260434419,-0.0013516892169151973,0.071653750756003554,0,0.14285714285714235
3,safety_minus20,safety,-20,0.1952277657266811,0.33839479392624733,0.32537960954446854,0.14099783080260303,moderate,2.2000000000000002,5,0,0,0,5,100,8.1279725999920629,True,6.9633673254131923,0.24439777713378616,0,0,3.7675866079849185,0.36659897270254904,4.528672315254104,1.2484826874988826,3.4572434950581092,0.20052726630182235,4.4530947334361644,0.63633137553560259,21.642857142857139,3.4125369101689276,202.05415998934768,13.326081966154065,0.024563101363180628,0,0.040154110441525948,-0.020796566377201842,0.014974168455256009,0.052962898324463659,0,0.14285714285713524
4,safety_plus20,safety,20,0.16697588126159557,0.43413729128014844,0.2782931354359926,0.12059369202226347,moderate,2.2000000000000002,5,0,0,0,5,100,8.1970272999897134,True,6.9768427924758871,0.28573190423445133,0,0,3.7409733531066194,0.39508547720891568,4.5403217821722164,1.2750158705396231,3.4345599500798456,0.22032109701405972,4.4622048375880619,0.63347239717456061,21.571428571428573,3.1703344315960207,199.67158000799827,5.2847737323496506,0.038038568425875496,0,0.013540855563226817,-0.009147099459089425,-0.0077093765230076272,0.062073002476361161,0,0.071428571428569398
