method,short,seed,buffer_capacity,final_buffer_size,generated_boundary_fraction,stored_boundary_fraction,sampled_boundary_fraction,generated_uncertainty_fraction,stored_uncertainty_fraction,sampled_uncertainty_fraction,mean_priority,total_generated,total_sampled
AC,AC,0,360,360,0.8034782608695652,0.7833333333333333,0.7798295454545454,0.1139130434782608,0.1166666666666666,0.1034090909090909,1.0,1150,3520
AC,AC,1,360,360,0.8017391304347826,0.8361111111111111,0.821590909090909,0.1156521739130434,0.1194444444444444,0.1164772727272727,1.0,1150,3520
AC,AC,2,360,360,0.7991304347826087,0.7722222222222223,0.7744318181818182,0.1243478260869565,0.1222222222222222,0.1105113636363636,1.0,1150,3520
AC,AC,3,360,360,0.8078260869565217,0.7944444444444444,0.7840909090909091,0.088695652173913,0.1055555555555555,0.077840909090909,1.0,1150,3520
AC,AC,4,360,360,0.808695652173913,0.7805555555555556,0.7897727272727273,0.1304347826086956,0.1,0.1028409090909091,1.0,1150,3520
AC+CBF,AC+CBF,0,360,360,0.7991304347826087,0.7777777777777778,0.7909090909090909,0.1139130434782608,0.1166666666666666,0.1034090909090909,1.0,1150,3520
AC+CBF,AC+CBF,1,360,360,0.8069565217391305,0.8277777777777777,0.828125,0.1156521739130434,0.1194444444444444,0.1164772727272727,1.0,1150,3520
AC+CBF,AC+CBF,2,360,360,0.8034782608695652,0.775,0.7943181818181818,0.1243478260869565,0.1222222222222222,0.1105113636363636,1.0,1150,3520
AC+CBF,AC+CBF,3,360,360,0.8104347826086956,0.8,0.805965909090909,0.088695652173913,0.1055555555555555,0.077840909090909,1.0,1150,3520
AC+CBF,AC+CBF,4,360,360,0.802608695652174,0.7583333333333333,0.7897727272727273,0.1304347826086956,0.1,0.1028409090909091,1.0,1150,3520
AC+CBF+PER,AC+CBF+PER,0,360,360,0.8095652173913044,0.875,0.8048295454545454,0.1139130434782608,0.0833333333333333,0.0690340909090909,0.0244209853838785,1150,3520
AC+CBF+PER,AC+CBF+PER,1,360,360,0.8165217391304348,0.8722222222222222,0.821590909090909,0.1156521739130434,0.0777777777777777,0.0872159090909091,0.0172314881450648,1150,3520
AC+CBF+PER,AC+CBF+PER,2,360,360,0.8095652173913044,0.8694444444444445,0.828125,0.1243478260869565,0.0638888888888888,0.0647727272727272,0.020809611972933,1150,3520
AC+CBF+PER,AC+CBF+PER,3,360,360,0.8173913043478261,0.8722222222222222,0.8184659090909091,0.088695652173913,0.0583333333333333,0.0556818181818181,0.0220907927436249,1150,3520
AC+CBF+PER,AC+CBF+PER,4,360,360,0.811304347826087,0.8527777777777777,0.8161931818181818,0.1304347826086956,0.1111111111111111,0.0892045454545454,0.0256839082872847,1150,3520
AC+CBF+UE,AC+CBF+UE,0,360,360,0.8147826086956522,0.7861111111111111,0.8011363636363636,0.1330434782608695,0.125,0.1059659090909091,1.0,1150,3520
AC+CBF+UE,AC+CBF+UE,1,360,360,0.8147826086956522,0.8388888888888889,0.8318181818181818,0.1321739130434782,0.1527777777777778,0.1303977272727272,1.0,1150,3520
AC+CBF+UE,AC+CBF+UE,2,360,360,0.8182608695652174,0.7861111111111111,0.8099431818181818,0.14,0.1333333333333333,0.1238636363636363,1.0,1150,3520
AC+CBF+UE,AC+CBF+UE,3,360,360,0.8165217391304348,0.8277777777777777,0.8198863636363637,0.1008695652173913,0.1166666666666666,0.0795454545454545,1.0,1150,3520
AC+CBF+UE,AC+CBF+UE,4,360,360,0.8130434782608695,0.775,0.8022727272727272,0.1347826086956521,0.1055555555555555,0.1025568181818181,1.0,1150,3520
AC+CBF+AER,AC+CBF+AER,0,360,360,0.8008695652173913,0.9833333333333332,0.9454545454545454,0.1139130434782608,0.1722222222222222,0.1329545454545454,0.4514345171836931,1150,3520
AC+CBF+AER,AC+CBF+AER,1,360,360,0.8121739130434783,0.9861111111111112,0.95625,0.1156521739130434,0.1805555555555555,0.1764204545454545,0.4444780023632976,1150,3520
AC+CBF+AER,AC+CBF+AER,2,360,360,0.8052173913043478,0.9861111111111112,0.9457386363636364,0.1243478260869565,0.1555555555555555,0.1423295454545454,0.4507719907452372,1150,3520
AC+CBF+AER,AC+CBF+AER,3,360,360,0.8104347826086956,0.9861111111111112,0.952556818181818,0.088695652173913,0.1305555555555555,0.1073863636363636,0.4541179813584353,1150,3520
AC+CBF+AER,AC+CBF+AER,4,360,360,0.8052173913043478,0.9833333333333332,0.9485795454545456,0.1304347826086956,0.2111111111111111,0.15625,0.4529847331245433,1150,3520
Full,Full,0,360,360,0.8165217391304348,1.0,0.9599431818181818,0.1904347826086956,0.2666666666666666,0.2375,0.4550725618803904,1150,3520
Full,Full,1,360,360,0.8260869565217391,1.0,0.9667613636363636,0.1904347826086956,0.2694444444444444,0.2786931818181818,0.4532322178007361,1150,3520
Full,Full,2,360,360,0.8226086956521739,1.0,0.9653409090909092,0.2095652173913043,0.2694444444444444,0.2244318181818181,0.4573905390560193,1150,3520
Full,Full,3,360,360,0.8217391304347826,1.0,0.9650568181818182,0.1452173913043478,0.2222222222222222,0.1772727272727272,0.4537743082909783,1150,3520
Full,Full,4,360,360,0.82,1.0,0.9573863636363636,0.1826086956521739,0.2944444444444444,0.2275568181818182,0.455147398495997,1150,3520
