stress_multiplier,method,short,seed,sweep_episode_id,violation_rate,violation_count,known_static_violation_rate,known_static_violation_count,uncertain_true_violation_rate,uncertain_true_violation_count,min_clearance_cm,min_known_static_clearance_cm,min_uncertain_true_clearance_cm,cost,belief_center_rmse_cm,goal_error_cm,reached
0.8,AC,AC,0,2000,0.0,0,0.0,0,0.0,0,0.4485430939387969,2.297277743212536,0.4485430939387969,6.335471757414917,2.5900491704454374,4.805397933460109,1
1.0,AC,AC,0,2000,0.0,0,0.0,0,0.0,0,0.3509453573438265,2.273861073073808,0.3509453573438265,6.3198326637107725,3.20404484914235,5.504348148247107,1
1.3,AC,AC,0,2000,0.0035714285714285,1,0.0,0,0.0035714285714285,1,-0.1196635126090528,2.2402376041397183,-0.1196635126090528,11.50086679677308,4.152855261987727,5.407641676624118,1
1.6,AC,AC,0,2000,0.0071428571428571,2,0.0,0,0.0071428571428571,2,-0.5779760844019655,2.2083525709647724,-0.5779760844019655,16.699392161612977,5.38087194225819,5.294549940784603,1
2.0,AC,AC,0,2000,0.0142857142857142,4,0.0,0,0.0142857142857142,4,-0.9894587198270312,2.168573893078761,-0.9894587198270312,27.08198991109756,6.437360586596376,5.158681310650749,1
2.2,AC,AC,0,2000,0.0178571428571428,5,0.0,0,0.0178571428571428,5,-1.2006623988575784,2.1520601653744547,-1.2006623988575784,32.281413640128086,7.033836767679544,5.045842997180273,1
2.6,AC,AC,0,2000,0.0214285714285714,6,0.0,0,0.0214285714285714,6,-1.2736361703200778,2.1223105645651748,-1.2736361703200778,37.48394128069406,8.165712421360377,4.7596443266148665,1
3.0,AC,AC,0,2000,0.0285714285714285,8,0.0,0,0.0285714285714285,8,-1.984007377553264,2.0890192734634683,-1.984007377553264,47.88538302031847,9.456268870171884,5.1202834640856905,1
3.5,AC,AC,0,2000,0.0285714285714285,8,0.0,0,0.0285714285714285,8,-2.030238989913269,2.0597816253668557,-2.030238989913269,47.88721962832105,11.21624221728463,5.256988879490041,1
4.0,AC,AC,0,2000,0.0321428571428571,9,0.0,0,0.0321428571428571,9,-1.5734955684085616,2.0340565389559315,-1.5734955684085616,53.068906995260285,12.710477410533066,5.420795191093823,1
4.5,AC,AC,0,2000,0.0321428571428571,9,0.0,0,0.0321428571428571,9,-1.6965570355304909,2.011874554723789,-1.6965570355304909,53.08083659807754,14.475171993328145,4.7560956733302655,1
0.8,AC,AC,1,2000,0.0,0,0.0,0,0.0,0,0.8785529473840259,2.2935284907275637,0.8785529473840259,6.37626071362873,1.729676750647029,4.459126013724695,1
1.0,AC,AC,1,2000,0.0,0,0.0,0,0.0,0,0.8166646972793234,2.2948625773106004,0.8166646972793234,6.362087350946739,2.1263858111827343,4.440167940718549,1
1.3,AC,AC,1,2000,0.0,0,0.0,0,0.0,0,0.8277973837149954,2.2974422875482654,0.8277973837149954,6.359928882535968,2.8008171283764045,4.3892028326028285,1
1.6,AC,AC,1,2000,0.0,0,0.0,0,0.0,0,1.1517772043838417,2.30053482214871,1.1517772043838417,6.355636685869582,3.5196108303477835,4.286554992699755,1
2.0,AC,AC,1,2000,0.0,0,0.0,0,0.0,0,1.2411371076896605,2.305261488028791,1.2411371076896605,6.33862385852613,4.383726603840247,4.262775145168016,1
2.2,AC,AC,1,2000,0.0,0,0.0,0,0.0,0,0.7189786337544884,2.313846675787787,0.7189786337544884,6.348753047917911,4.300334798815023,4.371570831693092,1
2.6,AC,AC,1,2000,0.0,0,0.0,0,0.0,0,0.6808398476085054,2.3200525663536373,0.6808398476085054,6.331478781898662,5.064739436656217,4.356860524257751,1
3.0,AC,AC,1,2000,0.0,0,0.0,0,0.0,0,0.4628985964026222,2.32668606087516,0.4628985964026222,6.330129891616696,5.83032849505606,4.696018913382489,1
3.5,AC,AC,1,2000,0.0,0,0.0,0,0.0,0,0.2304055941778793,2.335520664056352,0.2304055941778793,6.328059893699556,6.7886533764522365,4.603711042385011,1
4.0,AC,AC,1,2000,0.0,0,0.0,0,0.0,0,0.0956388897318444,2.3449131146722038,0.0956388897318444,6.331036929259868,8.296777001971353,4.364060921289082,1
4.5,AC,AC,1,2000,0.0071428571428571,2,0.0,0,0.0071428571428571,2,-0.3927063447810158,2.667238653736673,-0.3927063447810158,16.759466122867185,9.132644136806098,4.245159464490953,1
0.8,AC,AC,2,2000,0.0,0,0.0,0,0.0,0,0.8951287381217671,2.103456537520055,0.8951287381217671,6.417326398407626,1.8113991952298127,4.330553723616979,1
1.0,AC,AC,2,2000,0.0,0,0.0,0,0.0,0,1.007061585734853,2.1005000636824622,1.007061585734853,6.417831549094618,2.235633754966818,4.319912644071409,1
1.3,AC,AC,2,2000,0.0,0,0.0,0,0.0,0,1.1317152859733477,2.083390235668426,1.1317152859733477,6.418109239540551,2.9896068457902687,4.860548084706515,1
1.6,AC,AC,2,2000,0.0,0,0.0,0,0.0,0,0.1382444323034387,2.0613831231300312,0.1382444323034387,6.425212263501853,3.568745282590401,4.803895291225898,1
2.0,AC,AC,2,2000,0.0035714285714285,1,0.0,0,0.0035714285714285,1,-0.3236233448333181,2.0333531566312604,-0.3236233448333181,11.625338973716564,4.762291098754162,4.809564670680599,1
2.2,AC,AC,2,2000,0.0035714285714285,1,0.0,0,0.0035714285714285,1,-0.53279678706869,2.019915994431446,-0.53279678706869,11.625475083557992,5.2253721424758615,4.785529807159849,1
2.6,AC,AC,2,2000,0.0071428571428571,2,0.0,0,0.0071428571428571,2,-0.6046705912213429,1.994096597869221,-0.6046705912213429,16.78972057327191,6.1738475584314365,4.314549645382564,1
3.0,AC,AC,2,2000,0.0107142857142857,3,0.0,0,0.0107142857142857,3,-0.9326410900862004,1.9305985204238776,-0.9326410900862004,21.99199173369369,7.065426961562428,4.570841179728168,1
3.5,AC,AC,2,2000,0.0071428571428571,2,0.0,0,0.0071428571428571,2,-0.98293742072567,1.899154360104744,-0.98293742072567,16.779958612667933,8.135454960258032,4.588131727210987,1
4.0,AC,AC,2,2000,0.0107142857142857,3,0.0,0,0.0107142857142857,3,-1.2233090947515983,1.8702282460506103,-1.2233090947515983,22.00065223743466,9.226016122672132,4.479037746768234,1
4.5,AC,AC,2,2000,0.0107142857142857,3,0.0,0,0.0107142857142857,3,-1.4093938323126318,1.843647788347065,-1.4093938323126318,21.994377895427853,10.18365038814986,4.345360902155117,1
0.8,AC,AC,3,2000,0.0,0,0.0,0,0.0,0,1.4053082289507883,2.2575935299331245,1.4053082289507883,6.290873766904139,2.0964030226163404,4.841524189526742,1
1.0,AC,AC,3,2000,0.0,0,0.0,0,0.0,0,1.200138745193524,2.2778788395686416,1.200138745193524,6.3204542367036245,2.613810957244986,4.841336357291903,1
1.3,AC,AC,3,2000,0.0,0,0.0,0,0.0,0,1.379561315307551,2.296562330191616,1.379561315307551,6.320955245626634,3.4403353985521328,4.824945074984451,1
1.6,AC,AC,3,2000,0.0,0,0.0,0,0.0,0,1.381450630251807,2.3135534457736098,1.381450630251807,6.305632428279574,4.195889062716972,4.819464126939012,1
2.0,AC,AC,3,2000,0.0,0,0.0,0,0.0,0,1.5036234189802573,2.3334663942030565,1.5036234189802573,6.256718747537225,4.989353421151401,4.738456264462535,1
2.2,AC,AC,3,2000,0.0,0,0.0,0,0.0,0,1.2995165062486906,2.34220334603267,1.2995165062486906,6.268088688545767,5.684112281256038,4.740041297098049,1
2.6,AC,AC,3,2000,0.0,0,0.0,0,0.0,0,1.08580249422201,2.3832052922381246,1.08580249422201,6.207518680240864,6.819361245147057,5.300328778635451,1
3.0,AC,AC,3,2000,0.0,0,0.0,0,0.0,0,0.8280480302688492,2.3619877790419563,0.8280480302688492,6.217561452372666,8.221500351056148,5.382685741553313,1
3.5,AC,AC,3,2000,0.0,0,0.0,0,0.0,0,0.3384543716113797,2.332534962865972,0.3384543716113797,6.189977143302851,9.12202061810203,5.183401180950169,1
4.0,AC,AC,3,2000,0.0,0,0.0,0,0.0,0,0.0538798397477446,2.327927455082514,0.0538798397477446,6.188654557625086,10.385788903031845,5.054275545567209,1
4.5,AC,AC,3,2000,0.0071428571428571,2,0.0,0,0.0071428571428571,2,-0.2271950056660671,2.320173718963097,-0.2271950056660671,16.624677514106303,11.63995772296712,4.894671170775307,1
0.8,AC,AC,4,2000,0.0,0,0.0,0,0.0,0,1.0767223768508165,2.3587327021652933,1.0767223768508165,6.437675883355109,1.901712195384453,5.126253212086473,1
1.0,AC,AC,4,2000,0.0,0,0.0,0,0.0,0,0.9618051415736462,2.361464671533815,0.9618051415736462,6.421235408821092,2.3347561770018395,4.847318977044592,1
1.3,AC,AC,4,2000,0.0,0,0.0,0,0.0,0,1.000884434887872,2.366102063241284,1.000884434887872,6.373120879698897,3.001845803661798,4.712782252922403,1
1.6,AC,AC,4,2000,0.0,0,0.0,0,0.0,0,1.4165499848824037,2.3712969974971903,1.4165499848824037,6.3854210630147685,3.786720899357406,4.692510535227246,1
2.0,AC,AC,4,2000,0.0,0,0.0,0,0.0,0,1.6580497707331665,2.379012351616222,1.6580497707331665,6.359812910352891,4.733914650861576,4.586338895887352,1
2.2,AC,AC,4,2000,0.0,0,0.0,0,0.0,0,1.7273558757359946,2.383195637734233,1.7273558757359946,6.360077593032427,5.196646379393444,4.533951380593136,1
