method,short,seed,waypoint,x,y
AC,AC,0,0,0.22,2.82
AC,AC,0,1,0.3769055808777308,2.46
AC,AC,0,2,0.5658816181392317,2.1618346728666973
AC,AC,0,3,0.77,1.875580525938343
AC,AC,0,4,0.9087778763221872,1.5718037234589686
AC,AC,0,5,1.0129244328110512,1.2362354757252083
AC,AC,0,6,1.11,0.89
AC,AC,0,7,1.5594865257939583,0.77
AC,AC,0,8,2.02,0.78
AC,AC,0,9,2.16,1.0496797309669372
AC,AC,0,10,1.89010299046966,1.33
AC,AC,0,11,1.62,1.58
AC,AC,1,0,0.22,2.82
AC,AC,1,1,0.3739999686090915,2.46
AC,AC,1,2,0.5658588111094844,2.1667249585923263
AC,AC,1,3,0.77,1.8807413466993328
AC,AC,1,4,0.9083690778293212,1.580004529584972
AC,AC,1,5,1.014882297835189,1.240191258441307
AC,AC,1,6,1.11,0.89
AC,AC,1,7,1.5581634878791455,0.77
AC,AC,1,8,2.02,0.78
AC,AC,1,9,2.16,1.0503393527649754
AC,AC,1,10,1.8902071966500305,1.33
AC,AC,1,11,1.62,1.58
AC,AC,2,0,0.22,2.82
AC,AC,2,1,0.3782742084779416,2.46
AC,AC,2,2,0.5656083711015768,2.1592319789534304
AC,AC,2,3,0.77,1.8697141497070149
AC,AC,2,4,0.901645771037376,1.568776512921767
AC,AC,2,5,1.0093965854307174,1.2351681924542477
AC,AC,2,6,1.11,0.89
AC,AC,2,7,1.5572998619450873,0.77
AC,AC,2,8,2.02,0.78
AC,AC,2,9,2.16,1.0506380323084894
AC,AC,2,10,1.890139438067799,1.33
AC,AC,2,11,1.62,1.58
AC,AC,3,0,0.22,2.82
AC,AC,3,1,0.3745039201730521,2.46
AC,AC,3,2,0.5569590282352387,2.1630001836190784
AC,AC,3,3,0.77,1.8778171334943357
AC,AC,3,4,0.9029410933831716,1.5819605225309064
AC,AC,3,5,1.0157477835566469,1.2421530318239382
AC,AC,3,6,1.11,0.89
AC,AC,3,7,1.556876283522045,0.77
AC,AC,3,8,2.02,0.78
AC,AC,3,9,2.16,1.0512345097154694
AC,AC,3,10,1.8900301383160245,1.33
AC,AC,3,11,1.62,1.58
AC,AC,4,0,0.22,2.82
AC,AC,4,1,0.3781540886885241,2.46
AC,AC,4,2,0.5654232253442857,2.162033448417645
AC,AC,4,3,0.77,1.8769021162688864
AC,AC,4,4,0.9031391294136204,1.5766979496021756
AC,AC,4,5,1.0107156657164649,1.2373678115682287
AC,AC,4,6,1.11,0.89
AC,AC,4,7,1.55593356242826,0.77
AC,AC,4,8,2.02,0.78
AC,AC,4,9,2.16,1.0524198411139172
AC,AC,4,10,1.890035876050492,1.33
AC,AC,4,11,1.62,1.58
AC+CBF,AC+CBF,0,0,0.22,2.82
AC+CBF,AC+CBF,0,1,0.3690754933388488,2.46
AC+CBF,AC+CBF,0,2,0.5603930767754715,2.173550148856543
AC+CBF,AC+CBF,0,3,0.77,1.898496980160351
AC+CBF,AC+CBF,0,4,0.9109376723855468,1.5980552264285262
AC+CBF,AC+CBF,0,5,1.0125813291669177,1.2529921909800308
AC+CBF,AC+CBF,0,6,1.11,0.89
AC+CBF,AC+CBF,0,7,1.5564376319728557,0.77
AC+CBF,AC+CBF,0,8,2.02,0.78
AC+CBF,AC+CBF,0,9,2.16,1.0549762218341387
AC+CBF,AC+CBF,0,10,1.8900000000000508,1.33
AC+CBF,AC+CBF,0,11,1.62,1.58
AC+CBF,AC+CBF,1,0,0.22,2.82
AC+CBF,AC+CBF,1,1,0.3668672713550249,2.46
AC+CBF,AC+CBF,1,2,0.553697238055709,2.174096661424003
AC+CBF,AC+CBF,1,3,0.77,1.897630285522452
AC+CBF,AC+CBF,1,4,0.909292710650917,1.6092133406697118
AC+CBF,AC+CBF,1,5,1.015123292100521,1.2569319063443252
AC+CBF,AC+CBF,1,6,1.11,0.89
AC+CBF,AC+CBF,1,7,1.5537738446877034,0.77
AC+CBF,AC+CBF,1,8,2.02,0.78
AC+CBF,AC+CBF,1,9,2.16,1.0565587449263794
AC+CBF,AC+CBF,1,10,1.88999999999999,1.33
AC+CBF,AC+CBF,1,11,1.62,1.58
AC+CBF,AC+CBF,2,0,0.22,2.82
AC+CBF,AC+CBF,2,1,0.3708788937460625,2.46
AC+CBF,AC+CBF,2,2,0.5579946771076386,2.1680360391862807
AC+CBF,AC+CBF,2,3,0.77,1.8860389093414511
AC+CBF,AC+CBF,2,4,0.9016096774792296,1.5944400390166955
AC+CBF,AC+CBF,2,5,1.0138123603969205,1.2492541429583848
AC+CBF,AC+CBF,2,6,1.11,0.89
AC+CBF,AC+CBF,2,7,1.5508054094862656,0.77
AC+CBF,AC+CBF,2,8,2.02,0.78
AC+CBF,AC+CBF,2,9,2.16,1.0584624054805485
AC+CBF,AC+CBF,2,10,1.8899999999997144,1.33
AC+CBF,AC+CBF,2,11,1.62,1.58
AC+CBF,AC+CBF,3,0,0.22,2.82
AC+CBF,AC+CBF,3,1,0.369488460921665,2.46
AC+CBF,AC+CBF,3,2,0.5475328095640689,2.167872286859598
AC+CBF,AC+CBF,3,3,0.77,1.8902452930566715
AC+CBF,AC+CBF,3,4,0.9090349954401156,1.6014046141944125
AC+CBF,AC+CBF,3,5,1.017552328229313,1.255018690599406
AC+CBF,AC+CBF,3,6,1.11,0.89
AC+CBF,AC+CBF,3,7,1.5518746051380985,0.77
AC+CBF,AC+CBF,3,8,2.02,0.78
