stress_multiplier,method,known_static_violation_count_mean,known_static_violation_count_max,uncertain_true_violation_count_mean,uncertain_true_violation_count_max,min_known_static_clearance_cm_min,min_uncertain_true_clearance_cm_min
0.8,AC,0.0,0,0.0,0,2.103456537520055,0.4485430939387969
0.8,AC+CBF,0.0,0,0.0,0,3.930362209381197,2.3945774620861893
0.8,AC+CBF+AER,0.0,0,0.0,0,3.803348369952855,3.549872080819055
0.8,AC+CBF+PER,0.0,0,0.0,0,3.905425637245808,1.131397688988192
0.8,AC+CBF+UE,0.0,0,0.0,0,3.6175574175569296,4.589767735044878
0.8,Full,0.0,0,0.0,0,3.6418521967332,4.722497142004711
1.0,AC,0.0,0,0.0,0,2.1005000636824622,0.3509453573438265
1.0,AC+CBF,0.0,0,0.0,0,3.777051710876843,1.956810382954635
1.0,AC+CBF+AER,0.0,0,0.0,0,3.7563252903017736,2.9088315538886382
1.0,AC+CBF+PER,0.0,0,0.0,0,3.904048495660844,0.8329632650763669
1.0,AC+CBF+UE,0.0,0,0.0,0,3.579854188011784,4.66103978632906
1.0,Full,0.0,0,0.0,0,3.6674609698181446,4.652812225429298
1.3,AC,0.0,0,0.2,1,2.083390235668426,-0.1196635126090528
1.3,AC+CBF,0.0,0,0.0,0,3.573304864321372,1.0992918890553427
1.3,AC+CBF+AER,0.0,0,0.0,0,3.613236868768879,2.1920777411241628
1.3,AC+CBF+PER,0.0,0,0.0,0,3.5043479428212536,0.397111082266291
1.3,AC+CBF+UE,0.0,0,0.0,0,3.1588412723680515,4.56961501534521
1.3,Full,0.0,0,0.0,0,3.352147946799558,4.605618196124847
1.6,AC,0.0,0,0.4,2,2.0613831231300312,-0.5779760844019655
1.6,AC+CBF,0.0,0,0.0,0,3.3218409157673072,0.340348859458589
1.6,AC+CBF+AER,0.0,0,0.0,0,3.4043661842158706,1.7858400521588935
1.6,AC+CBF+PER,0.0,0,0.2,1,3.315979844099531,-0.0239206232820976
1.6,AC+CBF+UE,0.0,0,0.0,0,2.858897705840882,4.397422072087196
1.6,Full,0.0,0,0.0,0,3.093153618040948,4.584105036735334
2.0,AC,0.0,0,1.0,4,2.0333531566312604,-0.9894587198270312
2.0,AC+CBF,0.0,0,0.2,1,3.256095350107705,-0.5479689250594694
2.0,AC+CBF+AER,0.0,0,0.0,0,3.2737383575879053,1.3603057881062364
2.0,AC+CBF+PER,0.0,0,0.6,2,3.178335026655896,-0.4600983512184714
2.0,AC+CBF+UE,0.0,0,0.0,0,2.854826241017153,4.1525726473095
2.0,Full,0.0,0,0.0,0,2.892496558817517,4.471402481761643
2.2,AC,0.0,0,1.2,5,2.019915994431446,-1.2006623988575784
2.2,AC+CBF,0.0,0,0.6,2,2.8057536453922087,-0.7429080665575973
2.2,AC+CBF+AER,0.0,0,0.0,0,2.8319396701748905,1.1730372181512654
2.2,AC+CBF+PER,0.0,0,0.8,3,2.820536588576475,-0.659818456371633
2.2,AC+CBF+UE,0.0,0,0.0,0,2.4373376747463187,4.195431458673612
2.2,Full,0.0,0,0.0,0,2.4557328370943403,4.416792928337157
2.6,AC,0.0,0,1.6,6,1.994096597869221,-1.2736361703200778
2.6,AC+CBF,0.0,0,0.8,3,2.81323632899049,-0.8291596189548917
2.6,AC+CBF+AER,0.0,0,0.0,0,2.799052296838136,1.0421114607752608
2.6,AC+CBF+PER,0.0,0,1.0,4,2.8070132445110167,-1.1044155151355843
2.6,AC+CBF+UE,0.0,0,0.0,0,2.4032958022484867,3.1417480173355883
2.6,Full,0.0,0,0.0,0,2.4593117647181164,3.75352453685813
3.0,AC,0.0,0,2.2,8,1.9305985204238776,-1.984007377553264
3.0,AC+CBF,0.0,0,1.0,3,2.5552072159240184,-1.2595484596629625
3.0,AC+CBF+AER,0.0,0,0.0,0,2.510251296822799,0.6808511227680225
3.0,AC+CBF+PER,0.0,0,1.6,5,2.505020444233377,-1.5189653460273331
3.0,AC+CBF+UE,0.0,0,0.0,0,2.17550042548558,2.952177893488389
3.0,Full,0.0,0,0.0,0,2.289493452114602,3.55162684811432
3.5,AC,0.0,0,2.4,8,1.899154360104744,-2.030238989913269
3.5,AC+CBF,0.0,0,1.2,3,2.499235755961429,-1.4851843553639026
3.5,AC+CBF+AER,0.0,0,0.0,0,2.5170150543370045,0.318078469314248
3.5,AC+CBF+PER,0.0,0,1.6,5,2.5384267106472373,-1.7303039890699992
3.5,AC+CBF+UE,0.0,0,0.0,0,2.2009713114672285,2.234695326522612
3.5,Full,0.0,0,0.0,0,2.1549001708202646,2.5809097845799545
4.0,AC,0.0,0,2.8,9,1.8702282460506103,-1.5734955684085616
4.0,AC+CBF,0.0,0,1.4,4,2.340508245070464,-0.9101938594470436
4.0,AC+CBF+AER,0.0,0,0.6,3,2.332865038586987,-0.4373226082589443
4.0,AC+CBF+PER,0.0,0,1.8,5,2.357281104487599,-1.8061939265654328
4.0,AC+CBF+UE,0.0,0,0.0,0,2.064393864577648,1.4929832420418985
4.0,Full,0.0,0,0.0,0,2.105901782234576,6.432134566558748
4.5,AC,0.0,0,3.8,9,1.843647788347065,-1.6965570355304909
4.5,AC+CBF,0.0,0,1.6,3,2.3569940907114644,-1.0963780307249524
4.5,AC+CBF+AER,0.0,0,0.4,2,2.325563743104611,-0.4351056330328395
4.5,AC+CBF+PER,0.0,0,2.0,5,2.325733140071609,-1.889212911432084
4.5,AC+CBF+UE,0.0,0,0.0,0,1.883825612435433,1.716886869114631
4.5,Full,0.0,0,0.0,0,2.108089417218775,6.524752524796626
