step,time,stress,sensor_stream_hash,sensor_valid_fraction,sensor_observable_jump_score,sensor_hidden_event,obs1_true_x,obs1_true_y,obs1_raw_x,obs1_raw_y,obs1_valid,obs1_jump_score,obs1_hidden_event,obs1_reported_sigma,obs1_raw_error,obs2_true_x,obs2_true_y,obs2_raw_x,obs2_raw_y,obs2_valid,obs2_jump_score,obs2_hidden_event,obs2_reported_sigma,obs2_raw_error
0,0.0,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,1.0,0,0.82,1.6,0.7695966562677187,1.6487732881666777,1,1.0,0,0.01,0.0701379405028708,1.82,0.92,1.73934710010347,1.0001277694180994,1,1.0,0,0.01,0.1136897079494877
1,0.055,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2292644631300485,0,0.82,1.6,0.7748499194027935,1.663686565518885,1,0.3162294198522357,0,0.01,0.0780673325119122,1.82,0.92,1.736607611367062,1.0066942049255034,1,0.1422995064078614,0,0.01,0.120292043168167
2,0.11,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.3917931405390807,0,0.82,1.6,0.7868303852110224,1.6430278928254776,1,0.4776242533353949,0,0.01,0.0543288404648022,1.82,0.92,1.72543958406391,0.9962392026678653,1,0.3059620277427665,0,0.01,0.1214664080535773
3,0.165,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.396143550363269,0,0.82,1.6,0.7708269877371926,1.6503968820333146,1,0.3523695404830569,0,0.01,0.0704118658585186,1.82,0.92,1.7427062375657447,1.00986569621441,1,0.4399175602434811,0,0.01,0.1185334090766974
4,0.22,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.1437217147731508,0,0.82,1.6,0.7620929602429911,1.6515552750711755,1,0.1762102275120626,0,0.01,0.0775317460211258,1.82,0.92,1.7373789109494076,1.0082683064029236,1,0.1112332020342389,0,0.01,0.1209030118365392
5,0.275,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2904129173841684,0,0.82,1.6,0.7505508127631758,1.6434052815283084,1,0.2825905611973487,0,0.01,0.0818975461928327,1.82,0.92,1.7227534168748146,1.0053604516818355,1,0.2982352735709881,0,0.01,0.1293959220410388
6,0.33,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.0829066083221046,0,0.82,1.6,0.7499209292667982,1.6407858573410574,1,0.0538818570272576,0,0.01,0.0810836747679468,1.82,0.92,1.7235692727501788,1.0108972334505966,1,0.1119313596169517,0,0.01,0.1325186485250346
7,0.385,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2018254882717971,0,0.82,1.6,0.7552185701624103,1.6482542686996149,1,0.1831307372119626,0,0.01,0.0807781412235833,1.82,0.92,1.7274323861800744,1.0005701189206342,1,0.2205202393316315,0,0.01,0.1227204432488736
8,0.44,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.4795634829823069,0,0.82,1.6,0.7281685631766599,1.638448848208371,1,0.5754473560419765,0,0.01,0.0995556463370583,1.82,0.92,1.7202086829131846,1.018342097392034,1,0.3836796099226372,0,0.01,0.1401052286154432
9,0.495,6.0,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,1.0,0.2043905384343983,0,0.82,1.6,0.7249552963609618,1.652357736147644,1,0.2855046390769308,0,0.01,0.1085118805677004,1.82,0.92,1.7234445893687145,1.0235882016321047,1,0.1232764377918658,0,0.01,0.1416102497686864
